사업자번호,업체명,대표자명,주소,상세주소,대표전화,팩스,홈페이지
106-81-51510,(주)씨제이이엔엠,"허민회,허민호","서울특별시 서초구 과천대로 870-13, 1층 (방배동)",,02-1644-2525,02-2107-1009,http://
106-81-72306,(주)삼정크린,지광용,서울특별시 영등포구 가마산로 317 (대림동),,02-798-4587,02-797-9143,
106-81-76452,빌트조명(주),김명식,경기도 김포시 양촌읍 황금로291번길 12,,070-4243-2431,031-987-0750,http://www.builting.co.kr
106-81-82274,(주)효성조명,유용준,경기도 화성시 정남면 괘랑2길17번길 45-12,,031-352-4818,031-352-4819,http://hslt.co.kr
106-86-49926,(주)레드스톤시스템,박치영,"서울특별시 용산구 독서당로 46, B106-103호 (한남동,한남아이파크)",,02-713-0863,02-713-0199,www.rstone.co.kr
107-81-58840,(주)오피스안건사,정용주,"서울특별시 강서구 개화동로7길 4-3, 1층(개화동, 대신빌딩)",,02-2633-7764,02-2633-7735,http://www.angunsa.co.kr
107-81-63678,(주)남경케미스트리,김종호,"서울특별시 금천구 가마산로 96, 1103(가산동, 대륭테크노타운8)",,02-887-0651,02-6448-0653,
107-81-68616,(주)진우씨스템,고재완,서울특별시 금천구 가산디지털1로 33-33,"(가산동, 대륭테크노타운2차, 104호 . 107호)",02-2109-8008,02-2109-8009,http://www.lite-way.co.kr
107-81-94434,대류산업(주),김영조,울산광역시 중구 내황11길 45,,052-282-0948,052-282-2384,
107-81-95113,(주)대건씨앤엘,최길주,"강원도 원주시 이화4길 65, 1동(단계동)",,043-883-5035,043-883-5039,www.daegun21.net
107-81-98143,(주)엘지생활건강,차석용,서울특별시 종로구 새문안로 58 (신문로2가),,02-6980-0995,02-6980-0960,http://www.lgcare.co.kr
107-81-98880,(주)포트텍,안상수,서울특별시 영등포구 경인로 775 3-401 (문래동3가),,02-2636-0911,02-2635-0912,http://www.forttec.co.kr
107-81-99123,(주)로얄라이프,전봉철,"서울특별시 영등포구 선유로33길 15, 7층 704호(양평동3가, 에이스타워)",,02-2672-2003,02-2672-2007,http://www.royal-co.co.kr
107-82-12123,(사)장애인인권센터,서인환,"서울특별시 영등포구 선유로49길 23, 315호 (양평동, 4가 아이에스비즈타워2차)",,02-6123-4400,02-6123-4404,http://hcdp.or.kr
107-82-13122,리드릭,김정열,서울특별시 영등포구 양산로 96(당산동2가),,02-3667-4945,02-3667-4942,www.ridplus.com
107-82-15246,행복한나무,서진원,서울특별시 영등포구 양산로 96 (당산동 2가),,02-324-7335,02-6929-3904,http://happywood.or.kr
107-87-18122,(주)엘지하우시스,"강계웅, 강인식","서울특별시 중구 후암로 98 (남대문로5가, LG서울역빌딩)",,02-6930-1576,02-6930-1586,http://www.lghausys.co.kr
108-81-84545,한국수도관리(주),한대석,"경기도 부천시 부천로208번길 40, 3층(춘의동)",,070-5129-3439,070-8668-0626,
108-81-87902,(주)엠와이칼라,권청주,"서울특별시 성동구 뚝섬로1길 31, 비층 101,108호(성수동1가,서울숲M타워)",,02-3473-6072,02-3473-6073,
108-86-11498,(주)확실한방수,김종국,"서울특별시 금천구 가산디지털1로 45, 307호",,02-867-4040,02-867-3887,http://
109-81-07177,(주)모나리자,박세훈,"서울특별시 동작구 보라매로5길 15 (신대방동, 전문건설회관 21층)",,02-829-8841,02-829-8899,http://www.monarisa.co.kr
109-81-28100,(주)태광뉴텍,신진문,"서울특별시 영등포구 선유로9가길 16(문래동6가, 광양림빌딩3층)",,02-3662-2367,02-3661-7513,http://
109-81-33530,선창산업(주),서성교,인천광역시 중구 월미로 96,,032-770-3000,032-770-3264,www.sunwood.co.kr
109-81-45088,삼창기연(주),김남준,경기도 김포시 대곶면 학의동로34번길 67-54,,031-989-5440,031-997-5442,http://www.samchangtech.co.kr
109-81-49750,성문산업(주),손윤중,경기도 화성시 정남면 덕절제기길 31,,031-352-6911,031-352-6910,www. sungmoonstar.com
110-81-49202,진양화학(주),김상용,울산광역시 남구 장생포로 93 (여천동),,052-278-0811,052-278-0843,http://www.cycc.co.kr/
110-81-49459,(주)일흥건영,전명호,경기도 파주시 탄현면 축현산단로 88-25,,031-942-7031,031-942-7033,www.ganet.co.kr
110-81-66628,(주)케이닉스공사,최중주,"서울특별시 마포구 잔다리로 36-1 (서교동, 동강빌딩3층)",,02-333-2025,02-322-3348,www.knix.co.kr
110-81-69305,(주)삼진콘크리트,나상일,서울특별시 은평구 진관3로 70,"826-1001(진관동,은평뉴타운상림마을)",031-941-0330,031-941-9904,www.samjincon.co.kr
110-81-89354,(주)그린메이커,오문환,"서울특별시 구로구 공원로 3, 501호 (구로동, 선경오피스텔)",,02-6095-1501,02-2637-5001,http://
110-82-13787,(사)늘푸름 늘푸름보호작업장,안성기,서울특별시 구로구 부일로1나길 38 (온수동),,02-374-6091,02-2632-7394,www.egboho.net
110-82-15164,그린내,기화서,서울특별시 서대문구 명지2길 14,,02-303-4520,,www.greennae.kr
110-86-14519,미우테크(주),정태규,"서울특별시 서대문구 통일로 357, 102동403(홍제동,무악재한화아파트)",,000-000-0000,02-359-8162,
110-87-01326,(주)라이프엘앤케이,김한수,경기도 남양주시 진접읍 양진로 683-5,,031-573-8923,031-573-8933,http://
113-81-11573,애경산업(주),이윤규,"서울특별시 마포구 양화로 188, 10F~13F, 2F층(동교동, 애경타워)",,02-818-1987,02-818-1889,
113-81-13590,(주)신성강건,전중기,서울특별시 구로구 부일로1나길 18-8,,02-2617-3386,02-2687-7455,http://shinsungsc.co.kr
113-81-34111,(주)한일디엔에스,김경화,경기도 김포시 통진읍 검암1로 137,,031-985-4161,031-985-4165,http://www.hanildns.com
113-81-36157,금성이엔씨(주),나성범,경기도 안산시 단원구 목내로 44 (목내동),,031-494-4545,031-494-4546,http://www.ksenc.co.kr
113-81-43793,(주)오라시스템,김동화,"서울특별시 구로구 디지털로33길 11, 1010호 (구로동, 에이스테크노타워 8)",,02-837-4500,02-837-4502,http://www.orasystem.co.kr
113-81-52458,다우실란트산업(주),한상욱,"서울특별시 구로구 디지털로33길 27 608(구로동,삼성아이티밸리)",,02-838-3556,02-838-3558,www.dawoosealant.co.kr
113-81-62204,엘이디코람(주),"현영길, 이리라",경기도 파주시 숲속노을로11번길 41 (동패동),,031-949-6311,031-949-6314,koramel.com
113-81-64648,(주)서룡상사,서용문,경기도 포천시 군내면 포천로 1336,,02-2625-9808,02-2632-6736,www.srbaby.com
113-81-68514,(주)진우엘텍,박열구,경기도 부천시 석천로 397,"(삼정동, 부천테크노파크쌍용3차 아이티)",032-329-7160,032-329-7164,http://www.jweltec.com/
113-81-94521,(주)대한계기정밀,유영희,"경기도 김포시 대곶면 상마신기로 81-35, 1층",,031-983-5721,031-983-5723,http://www.dhmeter.com
125-81-33492,(주)진성아스타,황정옥,경기도 안성시 원곡면 기업단지로 293-12,,031-656-8225,031-652-3800,
116-81-14884,(주)세진에스엠씨,최경식,"서울특별시 영등포구 국제금융로 70, 1601(여의도동,미원빌딩)",,02-784-1451,02-780-1212,http://
116-81-19123,지에스칼텍스(주),허세홍,"서울특별시 강남구 논현로 508 (역삼동,GS타워)",,02-2005-1114,02-3404-5593,http://www.gscaltex.co.kr
116-81-23200,(주)주연테크,김희라,서울특별시 마포구 양화로 134,,070-7600-7519,02-6939-8367,http://www.jooyon.co.kr
117-81-09929,(주)코아스,노재근,서울특별시 영등포구 선유로52길 17 (당산동6가),,02-2163-6000,02-2163-6161,http://www.ikoas.com
119-02-68007,디에스워터(DS Water),장대웅 외 1명,경기도 화성시 주석로80번길 49-6 (북양동),,031-366-9822,031-366-9825,http://www.dswater.co.kr
119-08-45592,ND TECH,김현일,"서울특별시 금천구 가산디지털2로 108, 406 (가산동, 뉴티캐슬)",,02-2626-8550,02-2626-8553,http://www.heater.info
119-81-01393,대명아이티에스(주),방정민,서울특별시 금천구 가마산로 96,"208호(가산동, 대륭테크노타워 8차)",032-584-9819,032-571-0814,http://
119-81-08907,(주)아이엔아이,이상우,경기도 안양시 동안구 시민대로365번길 52,,031-423-4400,031-421-4300,
119-81-09075,정도이앤피(주),권영환,경기도 안산시 단원구 범지기로141번길 9,,031-494-5601,031-494-5464,http://www.jdenp.co.kr
119-81-10062,대한전선(주),나형균,"경기도 안양시 동안구 시민대로 317, 3층-9층(관양동, 대한스마트타워)",,041-360-9151,041-360-9599,http://www.taihan.com
119-81-26429,(주)비전포스텍,한상득,경기도 안성시 보개면 이전봉산길 98-4,,031-676-1273,031-676-1274,
119-81-47967,(주)에스티씨네트웍스,신선우,"인천광역시 연수구 송도미래로 30, 에이동 1406호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",,032-837-4800,032-837-4809,http://www.onstc.co.kr
119-81-48985,아이피시스(주),한동성,"서울특별시 금천구 벚꽃로24길 26, 비214호(가산동,에이스하이엔드타워 클래식 지식산업센터)",,02-855-4252,02-3281-9705,http://
119-81-54207,(주)한국콘젝트시스템,유준식,"서울특별시 금천구 가산디지털1로 83 (가산동, 파트너스타워1차805호)",,02-892-5451,02-892-5450,
119-86-62546,(주)대명콘스텍,신영태,충청북도 보은군 삼승면 남부로 3800,,02-831-1560,02-831-1563,http://
119-86-64224,포스텍네트웍스(주),김권일,"서울특별시 금천구 가산디지털1로 181, 1609호, 1610호, 1611호, 1612호(가산동, 가산더블유센터)",,02-6267-8880,02-6267-8889,http://www.postechnetworks.co.kr
119-86-73984,(주)해든화장품,이창구,충청남도 서산시 수석6길 49 (수석동),,041-668-1055,041-668-1118,http://www.haeduen.com
119-86-82955,(주)메이커스테크놀로지,조태연,"서울특별시 금천구 가산디지털1로 30, 1108, 1109호(가산동, 에이스하이엔드타워10)",,02-3397-0033,02-3397-0034,http://makerstec.com
119-86-86117,명진에코(주),여운봉,"서울특별시 금천구 가산디지털1로 233, 1203호,1204호(가산동,에이스하이엔드타워9차)",,02-6269-0089,02-2632-4597,http://mjeco.co.kr/
119-87-01304,(주)생활공작소,김지선,"서울특별시 영등포구 선유로 130, 1607, 1608, 1609, 1610, 1611호 (양평동3가, 에이스하이테크시티3)",,02-6959-6945,070-7545-1922,http://
119-87-06575,미래특수제지(주),김은자,충청북도 청주시 서원구 남이면 대림로 81,,070-4348-0736,070-8250-1128,http://
120-81-02484,테라코코리아(주),존에릭위드스트롬,충청북도 제천시 송학면 송학로10길 21,,043-643-8814,043-644-1991,http://www.terraco.co.kr
120-81-08950,성림건공(주),김상현,서울특별시 강남구 선릉로 664,,02-549-4595,02-514-0084,http://
120-81-11436,유한킴벌리(주),최규복,"서울특별시 송파구 올림픽로 300 (신천동, 롯데월드타워앤드롯데월드몰)",,02-528-1351,,http://www.yuhankimberly.co.kr
120-81-14433,협우물산(주),성대석,경기도 화성시 병점중앙로 19,나동,031-285-0114,031-285-6868,http://www.hyupwoo.co.kr
120-81-15636,캐논코리아비즈니스솔루션(주),최세환,서울특별시 강남구 테헤란로 607(삼성동),,02-3450-0777,,www.canon-bs.co.kr
120-86-19151,한국남동발전(주),유향열,경상남도 진주시 사들로123번길 32,,070-8898-2235,050-5027-1439,http://www.kosep.co.kr
120-86-30869,(주)삼기엔텍,강성순,전라북도 김제시 성덕면 해학로 631,,031-776-0077,031-776-0188,www.samki.or.kr
120-86-35582,(주)한국아스텐엔지니어링,문재식,"서울특별시 강남구 봉은사로 629 (삼성동,2층)",,02-3438-7500,02-2213-4217,www.asten.co.kr
120-86-43097,(주)조이포라이프,하기호,경기도 화성시 장안면 장안로 480-192,,031-319-0613,031-319-0615,www.joeyforlife.com
127-11-88665,어넥스,김난순,경기도 양주시 백석읍 연곡로124번길 163,,031-879-1203,031-826-1537,www.annexchail.co.kr
121-81-40900,목일목재(주),황기용,인천광역시 서구 보도진로30번길 6 (가좌동),,032-575-5461,032-575-5460,http://www.mokil.com
121-81-70248,라이온코리아(주),한상훈,인천광역시 중구 서해대로140번길 23 (신흥동3가),,032-881-2802,02-6336-2000,
121-81-71999,(주)토일러,곽노희,"인천광역시 남동구 논현고잔로88번길 74 (고잔동,1층)",,032-762-5501,032-762-5504,http://www.toiler.co.kr
122-81-06434,로얄앤컴퍼니(주),정훈,"경기도 화성시 팔탄면 시청로 895-20, 1층",,070-7464-8082,031-354-9545,http://www.royaltoto.co.kr
122-81-99253,(주)에코매스,한승길,인천광역시 서구 도담로 99 (오류동),,032-521-7101,032-507-7101,www.ecomasskorea.com
123-28-61527,삼성계기공업,김진택,경기도 군포시 당정로 68 (당정동),,031-459-0674,031-459-0664,www.ssmi.co.kr
123-29-14360,아이비씨스템,김경실,"서울특별시 금천구 시흥대로 97, 10동 125호(시흥동, 시흥유통상가)",,02-808-8380,02-808-7607,http://
123-38-10196,폴리메이드,최용락,"경기도 안양시 만안구 박달우회로 152, 103호 (안양동)",,031-447-4321,031-447-4321,http://
123-74-00075,경동산업개발,박진경,경기도 용인시 처인구 이동읍 백자로 451,,031-333-6357,031-334-8459,http://
123-81-00049,가온전선(주),윤재인,경기도 군포시 엘에스로45번길 120 (금정동),,031-459-6238,031-456-6023,http://www.gaoncable.co.kr
123-81-39919,(주)효성금속,윤순봉,경기도 화성시 우정읍 매바위로 40,,031-298-7422,031-298-7418,
123-86-06034,(주)노루페인트,"조성국, 김용기",경기도 안양시 만안구 박달로 351,,031-467-6634,031-447-0327,http://www.noroopaint.com
124-10-73832,무지개풀,김대유,경기도 수원시 권선구 금호로 115(구운동),,031-298-2300,031-296-0272,http://
124-20-66311,건진공사,강문수,경기도 수원시 영통구 신원로276번길 20 (원천동),,031-213-8532,02-540-0316,
124-22-53412,성원산업,문덕수,경기도 화성시 마도면 마도로 406-24,,031-355-1071,031-355-1073,http://
124-26-89432,케이티알,권태환,경기도 화성시 장안면 석포로 348-27,,031-351-1953,031-351-1198,www.ktrec.co.kr
124-31-35319,조은플라텍,김성수 외 1명,경기도 화성시 팔탄면 삼천병마로 543-11,,031-366-4491,031-366-4492,www.jepack.co.kr
124-34-55387,동양ENG,김정호,경기도 화성시 향남읍 토성로 286,,031-352-7711,031-352-5485,http://www.dongyang-eng.com/
124-37-96040,하이비산업,이시형,경기도 평택시 청북읍 청북로 435-50,,031-351-8115,031-351-8112,http://
124-38-74494,파로스산업,함영호,경기도 화성시 정남면 안념길 37-5,,031-354-9510,031-354-9505,
124-45-13194,세정에이텍,류대형,경기도 용인시 처인구 남사면 원암로 451-5,,031-339-7521,031-338-7521,www.sejungatech.com
124-50-53166,케이에이앤,이순만,경기도 화성시 정남면 덕절중앙길 98,,031-374-5624,050-2374-5624,http://
124-81-00998,삼성전자(주),"김기남, 김현석, 고동진",경기도 수원시 영통구 삼성로 129,,031-443-4813,,www.samsung.com
124-81-34479,(주)삼진엘앤디,"이경재, 이명종",경기도 화성시 동탄면 동탄기흥로 64-17,,031-379-2070,031-376-8156,
124-81-34993,케이비아이코스모링크(주),김병제,충청북도 옥천군 이원면 이원농공로 50-3,,043-730-5332,043-733-9515,www.cosmolink.co.kr
124-81-35482,(주)오일금속,조용백,경기도 화성시 봉담읍 수영로82번길 58-10,,031-292-0552,031-292-0077,www.oilmetal.com
124-81-36588,(주)워터웍스유진,이정옥,경기도 화성시 정남면 가장로 295-17,,031-352-1991,031-352-2456,http://www.yujin21.com
124-81-43508,(주)모닝,김훈,경기도 화성시 팔탄면 온천로 76-17,,031-353-4333,031-353-0455,
124-81-46204,제이엠아이(주),정광훈,경기도 화성시 동탄면 동탄산단8길 15-20,,031-371-9166,031-376-9458,http://
124-81-46811,(주)역전타일,박성수,경기도 수원시 권선구 수원천로 57 (세류동),,031-232-0400,031-238-5393,
124-81-48600,(주)크라텍,김기형,경기도 화성시 우정읍 호곡길168번길 74-50,,031-355-7586,031-355-7584,
124-81-50692,(주)탑엔지니어링,최성달,경기도 수원시 권선구 산업로155번길 228-81,,031-258-9450,031-258-9455,http://www.toptel.co.kr
124-81-56191,신동아전자(주),신창순,경기도 화성시 봉담읍 주석로 1156,,031-298-8852,031-297-0557,http://www.sdonga.co.kr
124-81-56231,(주)에이프러스,어범,경기도 용인시 처인구 남사면 경기동로256번길 21,,031-322-1332,031-322-0460,http://www.a-plus.co.kr
124-81-78725,경성제닉스(주),김중규,경기도 화성시 팔탄면 삼천병마로 518-46,,031-366-6555,031-366-6557,
124-81-88499,(주)케이아이피,김정태,경기도 수원시 영통구 영통로323번길 6 (매탄동),,031-366-3636,031-366-6779,http://
124-81-92047,(주)시안,염성준,강원도 횡성군 우천면 경강로 3111,,033-340-1234,033-340-1230,http://www.acewindow.co.kr
124-81-98662,(주)부천수지,김수갑,경기도 화성시 팔탄면 시청로721번길 20,,031-354-2050,031-354-2054,http://www.bceps.co.kr
124-81-98871,(주)고리,김완수,경기도 화성시 봉담읍 동산재길 54,,031-227-1493,031-227-1494,www.korichem.com
124-82-13393,굿드림장애인작업장,강병모,경기도 수원시 영통구 삼성로 274 (원천동),,031-211-2982,031-211-3188,
124-82-16406,행복한일터,장성욱,경기도 화성시 남양읍 현대기아로 506,,031-366-9571,031-366-9572,
124-86-91572,레이져라이팅(주),김상우,경기도 수원시 권선구 산업로156번길 88-47 (고색동),,031-223-5647,031-223-5649,
125-81-25783,(주)서해건업,허강회,경기도 평택시 청원로 1745-13 (도일동),,031-656-2077,031-655-0140,
125-81-26536,동명전기(주),유태우,경기도 안성시 양성면 동항공단길 41,동항지방산업단지,031-674-8585,031-674-2102,http://www.dmlight.co.kr
125-81-27869,(주)금강종합산업,이상권,경기도 평택시 산단로121번길 173 (모곡동),,031-668-8001,031-668-4749,http://
125-81-28005,(주)신성팩,김원권,"경기도 평택시 동삭로 455-61, 1층(칠괴동)",,031-667-1523,031-667-1526,http://
125-81-31460,(주)안성테라죠,김영장,경기도 안성시 죽산면 장원남산길 186-21,,031-675-9909,031-675-9939,http://
125-81-31515,(주)세광산업조명,이봉자,경기도 평택시 청북읍 어소길 109-37,,031-683-8700,031-683-4841,http://
126-21-70593,대동프라스틱공업사,김석기,경기도 광주시 초월읍 용수길 42-66,,031-766-6973,031-766-6975,http://daedongpl.co.kr
126-26-67526,칠보산업,최원집,경기도 광주시 곤지암읍 경충대로 187-12,,031-798-8972,031-798-8971,
126-81-01542,성진산업(주),윤남수,경기도 광주시 곤지암읍 광여로4번길 35,,031-762-6120,031-762-8249,http://www.sungjineps.com
126-81-02046,(주)쌍곰,이덕한,경기도 광주시 광남안로 61,,031-768-3030,031-768-3021,www.ssangkom.co.kr
126-81-02842,우림매스틱공업(주),박동준,경기도 이천시 양진로 4-9(사음동),,02-3445-4321,070-7099-4006,www.ecocoolroof.com
126-81-02949,세경산업(주),심현일,경기도 여주시 가남읍 흑석로 1,,031-883-6357,031-882-3632,http://saekyunggroup.co.kr
126-81-05723,(주)태성,이제열,경기도 이천시 호법면 안평로 227,,031-636-9991,031-636-9990,
126-81-06095,(주)덕윤기업,고무송,경기도 여주시 던드레길 51 (멱곡동),,02-586-4792,02-522-0739,http://
126-81-13621,삼부산업(주),노석우,경기도 광주시 옥토골길 33-44 (태전동),,031-767-3744,031-767-8981,
126-81-15667,(주)수리산업,"이수언,이성훈",경기도 여주시 가남읍 여주남로 554,,031-884-9961,031-884-9962,http://sulea.co.kr
126-81-23401,(주)성은바이오,김성은,경기도 광주시 순암로 168 (중대동),,031-762-1240,031-762-3255,
126-81-23890,(주)코인,이승우,경기도 광주시 오포읍 회안대로71번길 24,,031-766-7942,031-760-9980,www.koinint.com
126-81-24808,(주)시몬스,안정호,경기도 이천시 모가면 사실로 1000,,031-633-4071,031-633-0133,www.simmons.co.kr
126-81-33796,(주)대우가구,문태준,충청북도 음성군 감곡면 가곡로 478-50,,043-877-5622,043-877-5611,www.dwfurnis.com
126-81-38224,(주)포스텍글로벌,최창호,경기도 화성시 장안면 석포로 94-22,,031-351-5812,031-358-5529,
126-81-39000,(주)에덴바이오벽지,남윤석,경기도 안양시 만안구 수리산로28번길 12,,031-445-3106,050-5445-3118,http://www.edenwp.com
126-81-55091,미주강화(주),윤복모,경기도 광주시 곤지암읍 새재길 145,,02-475-1736,02-472-1098,http://www.ecorock.co.kr
126-81-56580,(주)티모드,유선종,경기도 광주시 초월읍 현산로361번길 13-1,,031-764-7882,031-764-6186,http://www.t-mod.com
126-81-57518,(주)삼성환경개발,이호찬,경기도 이천시 설성면 설가로 219,,031-643-4410,031-643-4414,
126-81-68669,(주)대원모빌랙,이종진,충청북도 음성군 삼성면 대덕로 63-75,,043-878-7341,043-878-7344,www.mobile-rack.co.kr
126-82-10198,사회복지법인양혜원양혜근로작업장,조윤효,경기도 이천시 부발읍 가좌로103번길 63,(양혜원),031-637-2486,031-637-2487,www.yhw.or.kr
126-82-93530,하남장애인직업재활센터,장용수,경기도 하남시 하남대로232번길 32 (상산곡동),,031-794-2340,031-793-9645,www.sheltered.co.kr
126-82-98419,이천시장애인재활근로작업장,황인성,경기도 이천시 신둔면 원적로290번길 14,,031-634-8004,031-634-8859,
126-85-16081,일신산업(주),최재홍,경기도 여주시 대신면 상구5길 58,,02-540-0633,02-546-9882,http://www.isind.co.kr
126-85-36087,(주)보광기업광주지점,이명열,경기도 광주시 장지9길 26 (장지동),,031-797-8132,031-763-8134,http://
126-86-14630,(주)금강모빌랙,김이태,경기도 광주시 목동길36번길 57,,031-798-5407,031-798-5455,http://www.kumsys.com
126-86-29870,(주)제이월드산업,한중희,경기도 화성시 마도면 청원산단1길 59,,031-765-6979,031-355-3978,http://www.alzipmat.com
126-86-31871,하나케이텍(주),원현희,경기 이천시 대월면 양녕로,55-53,031-637-8000,031-637-8006,
126-86-36099,(주)이안에스씨에스,안재우,"경기도 광주시 도척면 국사봉로 19, 2",,070-7720-1100,02-763-6313,
126-86-37818,(주)비엠에스코리아엘티디,오동엽,"서울특별시 송파구 가락로 272 (방이동, 5층)",,02-2202-1566,02-413-2788,http://
126-86-38928,(주)성화,안서영,경기도 광주시 장지1길 25,201호(장지동),031-797-7247,031-793-2916,http://
126-86-45211,(주)오아시스,최우식,경기도 성남시 중원구 갈마치로 218 (상대원동),,070-4496-1640,031-732-6234,http://
126-86-46883,(주)젠티스,신동국,"경기도 성남시 분당구 구미로9번길 3-10, 3층 301호(구미동,글로리타워)",,070-4912-7545,031-719-6151,http://gentice.co.kr
126-86-51483,(주)우드원,이현종,경기도 광주시 초월읍 산수로 169-36,,031-764-7373,031-764-7329,wood1.co.kr
126-86-54651,(주)제일화학,이명숙,경기도 광주시 목동길36번길 14(목동),,031-767-1878,031-767-8306,
413-81-05442,금산씨엔씨(주),전현수,전라남도 나주시 동수농공단지길 99-17 (동수동),,062-373-7643,062-373-7647,http://kumsanws.com
414-81-00979,(주)동성기업,문성필,전라남도 장흥군 장흥읍 흥성로 24,,061-863-4655,061-863-4650,www.dsuaw.com
127-27-99877,튼튼기업,"정재항, 우경애",경기도 포천시 가산면 가산로147번길 65-23,,031-544-9366,031-544-9365,
127-31-61679,화랑안전,김성태,"경기도 양주시 태봉로 123, 201호 (덕정동)",,031-855-5859,031-846-1875,http://
127-37-94473,형제모아퍼스,김보곤,경기도 양주시 칠봉산로34번길 14-71,,031-866-1423,031-865-2653,
127-38-65387,바네스(vanes),정진섭,경기도 포천시 가산면 선마로 160,,031-544-1116,031-544-7787,
127-81-05935,동아물산(주),성종헌,경기도 양주시 은현면 화합로1094번길 128,,031-858-0057,031-589-2136,http://www.dongamoolsan.co.kr/
127-81-07398,(주)필룩스,한우근,경기도 양주시 광적면 광적로 235-48,,070-7780-8554,070-7780-8609,http://www.feelux.com
127-81-07608,원기업(주),형남선,경기도 양주시 칠봉산로 370 (봉양동),,031-859-3030,031-859-0124,onegiup.co.kr
127-81-07762,(주)무궁화,유성준,경기도 동두천시 갈마지길 173 (상패동),,031-869-7051,031-862-5303,www.mkh.co.kr
