articles,categories,dates,titles
"[머니투데이 권혜민 기자] [현대경제연구원, '2018년 국내 10대 트렌드' 발표… '체감경기와 지표경기 온도차 지속', '4륜구동 경제 성장', '한중 해빙기 준비 본격화']현대경제연구원이 올해 국내 경제 주요 트렌드로 '체감경기와 지표경기 온도차 지속'을 꼽았다. 올해도 수출이 경제 성장세를 이끌면서 성장률 등 지표경기의 회복 흐름이 이어지겠지만 내수 회복세가 미약하고 생활물가가 뛰어오르면서 국민들은 경기회복세를 체감하기 어려울 것이라는 전망이다.소득주도성장과 기술혁신, 교육개혁, 노동개혁을 골자로 하는 '4륜구동 경제 성장'과 한중 관계 회복에 따른 대중 전략 변화를 일컫는 '한중 해빙기 준비 본격화'도 경제분야에서 주목해야 할 트렌드로 제시했다.현대경제연구원은 7일 이 같은 내용의 '2018년 국내 10대 트렌드' 보고서를 발표했다.보고서는 올해 체감경기와 지표경기 간 괴리 현상이 지속될 것으로 내다봤다. 올해도 글로벌 경제 회복에 힘입어 수출 중심으로 경제 회복세가 이어지지만 국민들은 이 같은 회복세를 실감하기 어려울 것이라는 설명이다.수출 비중이 낮은 서비스업이나 건설업 등 내수 산업의 회복세가 더디고 소득증가율과 고용 부문 개선세가 미약해 민간 소비 회복이 부진하다는 점이 근거로 제시됐다. 지난해 시작된 국내 기준금리 인상은 가계의 이자상환 부담을 늘려 가처분소득을 줄이고 민간소비 회복을 제약할 수 있을 요인으로 보인다.또 생활물가 상승도 체감경기를 악화시킬 요인으로 꼽혔다. 최근 국제 유가 상승으로 수입물가가 오르면서 소비자물가와 생활물가의 상승 우려가 커졌다. 원화 강세 영향은 일반 소비재 수입 물가 상승을 완화시킬 수 있으나 휘발유 등 유류비는 상승이 불가피하다는 지적이다.높은 체감실업률도 서민들의 경제 고통을 늘릴 요인으로 제시됐다. 경기 회복세를 주도하는 수출 부문은 고용유발 효과가 상대적으로 적은 산업이다. 반면 고용유발 효과가 큰 건설·서비스업 등은 부동산 대책에 따른 건설 경기 둔화와 최저임금 인상 등으로 고용 확대가 쉽지 않을 전망이다.신유란 현대경제연구원 연구원은 ""체감경기 회복을 위해 경기 회복세가 내수로 확산될 수 있는 정책 노력을 지속하고 양질의 일자리 창출을 바탕으로 고용 확대를 통한 소득 증가 및 소비 진작책 마련이 필요하다""고 지적했다.이와 함께 보고서는 올해 한국 경제가 '4륜구동 경제 성장'을 이뤄야 한다고 지적했다. 정부의 소득주도 성장 정책에 더해 기술 혁신으로 성장의 핵심 원동력을 확보하고, 교육 개혁과 고용 개혁을 통해 창의성과 생산성 향상을 추진해야 한다는 설명이다.또 본격적인 한중 해빙기를 맞아 대중 전략의 변화도 제안했다. 중국의 수요 변화에 맞춰 하이테크 기술 품목과 고급 소비재의 수출 증대를 노리고, 혁신형 첨단 제조업 부문에서 중국 자본 유치 증가에도 대비해야 한다는 지적이다..정치·외교·통일부문에서는 평창 동계올림픽을 계기로 남북대화와 경제협력이 재개되면서 '한반도 신경제지도 구상'이 현실화될 가능성을 제시했다.산업·경영 부문에선 △주목받는 사회적 기업 △기술 주도 성장(Tech-led Growth) △한국 스타트업(K-Startup) 생태계 활성화가 선정됐다. 문화 부문에선 △Z세대의 시대 △긱(Gig) 경제 시대의 유연성 실험 △Steep 소비가 트렌드로 제시됐다.권혜민 기자 aevin54@",,,"""내수부진, 생활물가 상승…올해도 체감경기 회복세 부진"""
"[아시아경제 김보경 기자] 김동연 경제부총리 겸 기획재정부 장관은 5일 나흘간 진행된 일자리 안정자금 신청 현황과 관련 ""근로복지공단 기준으로 300여건의 신청이 들어왔다""면서 ""갈수록 늘어날 것""이라고 내다봤다.김 부총리는 이날 서울 종로구 세종마을 음식문화거리를 찾아 최저임금 인상에 따른 영세 ·소상공인 업계 현장을 점검하고 일자리 안정자금을 홍보했다.김 부총리는 커피숍 ·음식점 업주들에게 ""정부가 이번에 일자리 안정자금이라고 해서 자영업자 종업원 인건비를 아무 조건없이 지원해드린다""며 ""짧게 근무하는 알바생이건, 길게 근무하는 종업원이건 월 190만원 이하 받는 분을 고용하면 지원해드린다""고 설명했다.이어 ""1인당 13만원이고 아무 조건없이 온라인과 주민센터에서 신청할 수 있다""며 ""정부가 이걸 하는 이유는 (사정이) 어렵다고 쓰시는 종업원을 해고할 수도 있는데, 계속 쓰시면서 사업 잘 하라고 하는 것""이라고 말했다.이에 한 음식점 업주는 ""모든 자영업자가 힘든 시기를 보내고 있다. 최저임금을 점진적으로 올렸다면 좋은데 너무 많이 올렸다""면서 ""당연히 드려야 할 것은 알지만, 거기에 수반돼서 물가를 잡아주면 좋겠지만 음식값도 들썩들썩하고 있다""고 상황을 전했다.아울러 김 부총리는 최저임금 인상 여파로 일부 아파트 단지에서 경비원 해고 사태가 벌어진 데 대해 ""안타깝다""는 반응을 보였다.그는 ""해고를 쉽게 하는 업종 중 하나가 아파트 관리인이나 경비원이라 30인 이상인 경우에도 일자리 안정자금을 지원할 수 있게 특별히 신경썼다""며 ""좀 안타까워서 예고없이 들려서 홍보도 하고 다른 분들에게 알려드리려고 왔다. 한분도 빠짐없이 혜택 받을 수 있도록 알려져야 할 것""이라고 밝혔다.한편 일자리 안정자금은 올해 최저임금(7530원)이 지난해보다 16.4% 오른데 따른 영세사업주의 인건비 부담을 줄여주기 위해 마련됐다. 총 3조원의 예산으로 30인 미만 업체 사업주에게 월보수 190만원 미만 근로자 1인당 월 최대 13만원을 지원하는 사업이다.세종=김보경 기자 bkly477@asiae.co.kr",,,"김동연 ""일자리 안정자금 300건 신청…갈수록 늘어날 것"""
"경기 수원시가 지난해 일자리 4만1944개를 창출해 일자리 창출 목표를 4년 연속 초과 달성했다. 이는 지난해 일자리 창출 목표 3만6000개의 116.5%에 이른다.시는 2014년 일자리 3만3634개(목표 3만 개), 2015년 3만9275개(목표 3만4000개), 2016년 4만3382개(목표 3만4000개)를 창출해 지난해까지 4년 연속 일자리 목표를 초과 달성했다고 5일 발표했다.민선 6기 일자리 17만 개 창출을 목표로 설정했던 시는 2014~2017년 일자리 15만8235개를 창출해 현재 목표의 93.1%를 달성했다.시는 이 같은 일자리 창출 성과를 인정받아 고용노동부가 주관하는 ‘전국지방자치단체 일자리 대상’ 지역 일자리목표 공시제 추진실적 평가에서 3년 연속(2015~2017년) 최우수상을 받기도 했다.지난해에는 청년 친화적 일자리 등 ‘일자리아젠다 8’을 선정하고 이를 실현하기 위한 76개 핵심전략 과제를 추진하며 일자리 창출에 박차를 가하고 있다.이와 함께 공공부문 일자리를 창출하는 ‘새-일 공공일자리 사업’, 청년해외취업 지원사업, 청년 몰 조성 등 다양한 정책으로 청년 일자리 창출에도 적극적으로 나서고 있다.맞춤형 일자리 창출 사업도 전개하고 있다. ‘여성 일자리 박람회’, ‘청년일자리 박람회’, ‘40~50대 중장년일자리 박람회’, ‘민간 노인 일자리 채용 한마당’ 등을 정기적으로 열고 있는 시는 올해 ‘신중년(만 50~64세) 디딤돌 일자리사업’을 신설했다. 수원=윤상연 기자 syyoon1111@hankyung.com[] [] []ⓒ 한국경제 &, 무단전재 및 재배포 금지",,,"수원시, 지난해 일자리 4만1944개 창출...4년 연속 목표 초과 달성"
"[홍춘봉 기자(=동해)]강원 동해시(시장 심규언)는 소득 3만 달러 시대를 맞아 2018년 ‘경제 활성화와 일자리 창출’에 올인, 경제 기반 마련에 역점을 두고 총력을 기울이기로 했다.우선 일자리 시책은 일자리 박람회 개최, 동해형 일자리 특화사업인 5인 미만 사업장 기업 인턴제 운영과 맞춤형 인력양성 교육, 여성·노인 등 근로약자들을 위해 기업현장 환경개선까지 원스톱 지원할 방침이다.또한, 노인·장애인·공공근로·지역공동체 사업 등 공공분야에도 일자리를 확 늘리기로 했다.아울러 전통시장 활성화 대책은 동쪽바다 중앙시장은 야시장 구역을 확대하는 한편 주차장 조성 마무리, 아케이트 개선사업, 도시가스 사업 등 시설현대화 사업을 추진하기로 했다.또 묵호시장은 관광형 수산시장으로 육성하기 위해 컨설팅 용역과 상인교육 실시, 북평민속시장은 전통시장 테마거리를 본격 조성해 나가게 된다.골목상권 및 소상공인 경쟁력 강화사업은 왁자지껄, 감자원정대 등 찾아가는 마케팅사업과 안전망 확충을 위해 화재보험 가입과 안전요원을 배치하는 절차도 진행한다.또한 상권활성화 재단을 통해 대표먹거리와 생활밀접형 상품브랜딩 개발, 전통시장 기념품 개발, 백년전통가업육성, 우수점포 지원 등 소상공인에 대한 정책도 추진한다.에너지 정책은 국가 탈 원전 시책과 안전하고 쾌적한 에너지원 확대계획에 따라 북부지역도시가스 공급관로 사업 시행(동호동∼중앙시장), 공동주택 태양광 발전 및 에너지 절약사업, 유휴 공유지내 태양광 상업 발전사업, 온실가스 배출권 획득사업, 그린 홈 2020호 사업(태양광, 태양열, 지열)을 중점 추진한다.북방경제시대 선점을 위한 북극연구기반시설 유치, 정부의 신 북방정책 구상에 따른 동해항 역할 강화, 동해항 물류인프라 조성(CFS 설치), 컨테이너 물동량 확충, 국제항로 활성화, 북방물류연구지원센터 조기 정착 등을 통한 환동해권 북방물류 전진기지로 구축해 나갈 방침이다.이어 기업성장 지원은 해외시장개척단 운영과 국내외 박람회 참가 지원, 지식재산권 출원 지원, 금융지원 확대, 인터넷 쇼핑물 구축, 홈쇼핑  참가 기업 지원, 맞춤형 기업 지원, 창업보육센터 정상화, 2018 GTI 박람회 개최 등 판로확대 및 투자유치를 통해 기업의 성장 사다리를 구축하게 된다.특히 북평산업단지 활성화는 콜드체인 허브구축을 통한 관련기업을 유치하고 한국산업단지공단 동해지사와 연계한 R&BD사업 추진 및 산단내 공동어린이집 공모사업 추진, 경제자유구역 활성화 등 투자환경을 조성해 나갈 계획이다.이에 따라 일자리와 전통시장, 에너지 분야에 90억, 기업유치분야에  173억 등 총 39개 분야에 263억을 투자할 방침이다.심규언 동해시장은 “올 한해는 지역경제가 살아나고, 일자리가 만들어지는 경제활력 도시를 만들겠다”는 포부를 밝혔다.홍춘봉 기자(=동해) ()Copyrightsⓒ무단전재 및 재배포금지",,,"동해시, 2018년 경제 활성화일자리 창출 주력"
"국내 주요 대기업들은 올해 경영환경에 가장 큰 위험요소로 ‘통상압력’과 ‘최저임금 인상’을 꼽았다. 절반 가까이는 새해 고용을 늘리지 않겠다고 했고, 10곳 중 6곳꼴로 임금을 ‘3% 미만’만 올리거나 동결하겠다고 했다.경향신문이 18개 대기업 경영전략·재무 담당 임원에게 물어본 결과, 기업인 27.8%가 새해 기업활동에 최대 위험요소로 ‘통상압력’이라고 답했다. 다음으로 ‘최저임금 인상’(22.2%)을 꼽았다.‘환율’과 ‘근로시간 단축’이 각각 16.7%였고, ‘북핵리스크’가 11.1%, 환율과 최저임금 인상을 동시에 꼽은 복수응답이 5.6%였다.지난해에 이어 올해 미국발 보호무역주의의 전방위 압박이 예상되는 가운데 당장 오는 5일부터 미 워싱턴에서 시작될 한·미 자유무역협정(FTA) 개정 협상이 부담으로 작용한 것으로 풀이된다. 이번 협상에서 미국이 자동차, 철강, 농축산물 등을 포함해 상품과 서비스 등 다분야에 걸쳐 협정 개정을 요구할 것이라는 전망이 나온다. 한·중 FTA의 서비스·투자 분야 협상도 새해 개시된다.기업들은 지난해 역대 최대로 오른 최저임금에 큰 부담을 드러냈다. 기업 측은 수익 악화와 함께 고용 감소 등으로 이어질 것이라는 입장을 편다. 2020년까지 최저임금을 1만원으로 올리겠다는 문재인 정부의 공약에는 기업인의 82.4%가 ‘속도는 늦춰야 한다’고 답했다.지난해 대비 임금 인상 계획을 묻는 질문에는 ‘3% 미만 인상’이 41.2%로 가장 많았고 동결하겠다는 답변도 17.6%를 차지했다. 이는 최저임금 부담이 기업 전반적인 임금 계획에 영향을 미친 것으로 풀이된다. 지난해보다 임금을 5% 이상 올리겠다는 곳은 23.5%였다. 본격화한 경기 회복세에다 금리까지 오르며 올해는 물가가 뛸 가능성이 커 임금 인상은 ‘뜨거운 감자’가 될 수 있다.대내외 불확실성으로 기업들의 투자심리가 위축되며 일자리 창출에 영향을 끼칠 것으로 보인다. 전년 대비 고용 계획을 묻는 질문에 46.7%가 ‘그대로’라고 답했다. 0~5% 채용 규모를 늘리겠다는 기업은 40%, 5% 이상 추가 채용을 계획하는 기업은 13.3%였다. 다만 ‘국정농단 사건’ 등으로 투자와 고용 계획이 얼어붙어 ‘현 상태 고용 유지’가 60%였던 지난해 경향신문 설문조사보다는 분위기가 누그러진 것으로 풀이된다.지난해 원·달러 환율이 대폭 떨어진 데 이어 새해도 변동성이 커질 수 있어 기업들은 촉각을 곤두세웠다. 새해 바람직한 원·달러 환율을 묻는 질문에 50%가 ‘1200원 이상’이라고 답했다. ‘1000~1100원’은 44.4%, ‘990~1000원’은 5.6%였다.앞서 원·달러 환율은 지난해 마지막 거래일인 12월28일 달러당 1070.5원으로 연중 최저점을 또 갈아치웠다. 2년8개월 만에 최저다. 전문가들은 미국 기준금리 인상 등에 비춰 전반적으로 원·달러 환율이 떨어질 가능성에 무게를 둔다. 다만 무역수지 적자 축소를 노리는 도널드 트럼프 미 행정부가 강달러를 선호하지 않는 점은 변수다.한 재계 관계자는 “여전히 남은 사드 갈등과 본격화되는 한·미 FTA 개정 등 올 한 해 기업들이 넘어야 할 파고가 높다”면서도 “대내외 불확실성이 극에 달했던 지난해에 비해 투자와 고용심리는 다소 완화된 분위기”라고 말했다.▶, 경향비즈 SNS▶[©경향신문(), 무단전재 및 재배포 금지]",,,"[신년 기획 - 2018 경제 전망]주요 기업 47% “신규 채용 규모, 지난해와 동일” 경영 위협 요소 ‘통상 압력·최저임금 인상’ 꼽아"
"(충남=뉴스1) 심영석 기자 = 충남도는 최저임금 인상에 따른 사업주의 경영부담 감소 및 고용안정을 위해 도내 전 시·군, 읍·면·동에 ‘일자리 안정자금 지원사업’ 전담 창구를 마련해 운영한다고 14일 밝혔다.이 사업은 2018년 최저임금이 7530원으로 인상됨에 따라 도내 소상공인 및 영세 중소기업을 지원하고 노동자의 고용안정을 유지하기 위해 올해 한시적으로 시행된다.도는 지난 2일부터 도내 전 시·군, 읍·면·동 주민센터에 전담인력으로 구성된 ‘일자리 안정자금 지원 사업’ 전담 창구를 마련, 사업 홍보와 신청 접수를 병행 실시하고 있다.지원 대상은 상시 30인 미만을 고용하고 월보수 190만 원 미만 근로자를 1개월 이상 고용하는 사업주로, 최저임금을 준수하고 고용보험에 가입해 있어야 한다.이 같은 조건을 충족하는 사업주는 근로자 1인당 최대 월 13만 원을 현금으로 수령하거나 사업주가 납입하는 사회보험료를 차감 받을 수 있다.고용보험법상 고용보험 미적용 대상인 합법 취업 외국인 및 5인 미만의 법인이 아닌 농가의 근로자도 지원을 받을 수 있다.공동주택 경비, 환경미화원의 경우 30인 이상 사업주도 신청 가능하며 정규직, 계약직, 일용직 등 누구나 신청이 가능하다신청은 읍·면·동 주민센터에 설치된 접수창구를 방문하거나 4대 사회보험공단 홈페이지 및 일자리 안정자금 홈페이지에서 온라인으로 하면 된다.또 근로복지공단지사, 건강보험공단지사, 국민연금공단지사, 고용노동부고용센터를 통해 우편·팩스로도 신청이 가능하며, 직접 신청이 어려운 소상공인의 부담을 덜기 위해 보험사무 대행기관에서 무료로 대행해 준다.도 관계자는 “음식점, 숙박업, 슈퍼마켓·편의점·주유소 등 소매업, 이·미용업, 경비·청소업, 농림어가 등 사업주는 빠짐없이 신청해 줄 것”을 당부했다.yssim1969@",,,충남도 ‘일자리 안정자금 지원사업’ 전담 창구 운영 
"【무안=뉴시스】배상현 기자 = 전남도는 청년들의 중소기업 정규직 일자리 취업 촉진과 장기근속을 위해 ‘전남 청년근속장려금 지원사업’을 추진한다고 27일 밝혔다.‘전남 청년근속장려금 지원사업’은 지난해까지 ‘청년인턴사업’으로 추진하다 올해부터 ‘근속장려금 지원사업’으로 변경했다.올해는 1년차 인턴·정규직 201명, 2년차 정규직 199명, 3년차 정규직 200명, 총 600명을 모집해 지원한다.지원사업에 참여한 경우 1년차에는 청년 150만 원, 기업 200만 원, 2년차에는 청년 150만 원, 기업 150만 원, 3년차에는 청년 400만 원, 기업 150만 원을 지원해 1인당 3년간 청년에게 700만 원, 기업에 500만 원을 지급한다.전남지역 상시근로자 수 5인 이상 300인 미만의 중소기업이, 전남에 거주하는 18세 이상 39세 이하 근로자를 신규 채용하거나 채용한 청년이 근속하는 경우 참여할 수 있다.참여 신청은 2월 9일까지 해당 시군 일자리 부서에 하면 되고, 자세한 사항은 도와 시군 누리집을 참조하면 된다.최형열 전남도 일자리정책지원관은 “전남 청년 근속장려금 지원사업을 통해 대기업과 중소기업의 임금 격차가 완화되고 정규직 일자리 취업이 촉진돼 청년들이 지역 기업에 안정적으로 장기 근속해 정착하길 바란다”며 기업들의 적극적인 참여를 당부했다.praxis@newsis.com▶ 뉴시스 SNS",,,"전남도 청년들 지역기업 취업 촉진…600명 모집, 지원"
"정부가 최저임금 인상 후속 대책으로 추진 중인 `일자리 안정자금'의 도내 신청(본보 지난 5일자 7면 보도)이 여전히 저조한 것으로 나타났다.일자리 안정자금은 고용인원 30명 미만, 월 평균보수 190만원 미만 근로자에게 최대 13만원을 지원하는 사업이다.도내 영세사업장 비율은 전국에서 가장 높지만, 대상자의 상당수가 지원을 못 받을 수 있다는 우려도 나오고 있다.근로복지공단에 따르면 17일 기준 도내에서 접수된 일자리 안정자금 신청 사업장은 97개로 중소벤처기업부가 집계한 `고용인원 30인 미만' 도내 사업장(3만여개)의 0.3% 수준이다.근로자 신청인원은 215명이었다. 일자리 안정자금 신청은 지역별, 사업체별로 큰 편차를 보였다. 도내에서 신청 사업장이 가장 많은 지자체는 강릉(23개)이었고, 원주 15개, 춘천·동해 11개, 속초 8개, 태백 4개 등이었으며, 평창·양구·양양의 경우 각 1개씩에 그쳤다. 동해, 태백은 지자체 차원에서 홍보가 적극 이뤄지고 있다. 사업장별로는 인제군의 A기업이 근로자 17명을 신청해 도내 사업장 중 가장 많았다. 사업주의 관심도에 따라서도 신청률이 달라졌다.김동연 부총리 겸 기획재정부 장관은 17일 경제관계장관회의에서 “1월 보수가 지급된 후 안정자금을 신청하게 되는데 15일까지 1월 보수 지급 비율이 1%에 지나지 않아 신청이 저조하다”며 “다음 달 15일까지 1월 보수 지급비율이 94%에 달하므로 각 부처도 최선을 다해 준비하고 홍보해달라”고 당부했다.신하림기자",,,일자리 안정자금 지원 신청 97곳뿐
"[아시아경제 김민영 기자] 김동연 부총리 겸 기획재정부 장관이 소상공인들을 방문해 일자리 안정자금 지원을 독려했다.김동연 부총리는 5일 서울 종로구 세종마을 음식문화거리를 찾아 최저임금 인상에 따른 소상공인의 현장을 점검하고 일자리 안정자금을 홍보했다. 앞서 김 부총리는 지난 2일 근로복지공단 서울남부지사를 방문해 일자리 안정자금 집행준비와 신청접수 상황을 점검한 바 있다.일자리 안정자금은 올해 최저임금(7530원)이 지난해보다 16.4% 오른데 따른 영세사업주의 인건비 부담을 줄여주기 위해 마련됐다. 총 3조원의 예산으로 30인 미만 업체 사업주에게 월보수 190만원 미만 근로자 1인당 월 최대 13만원을 지원하는 사업이다.김 부총리는 이날 시장 상인들에게 일자리 안정자금 홍보물을 직접 나눠주며 ""최저임금 인상은 근로자의 기본생활 보장을 위해 꼭 필요하고, 내수활성화 효과로 사업주에게도 이득이 되는 만큼, 적극적으로 동참하고 협조해 달라""고 당부했다.김 부총리는 일자리 안정자금 신청 시 사회보험료 부담을 대폭 경감했고 신청이 수월하도록 전국에 4000여개 접수창구를 마련했다고 설명하며 ""꼭 신청하셔서 인건비 부담과 근로자 고용불안 문제를 한꺼번에 해결하시길 바란다""고 말했다.기재부는 최저임금의 현장 안착과 일자리 안정자금의 차질없는 시행을 위해 지속적으로 제도를 점검 ·보완할 계획이다.김민영 기자 argus@asiae.co.kr",,,"김동연 부총리, 소상공인 만나 '일자리 안정자금' 지원 독려"
"【홍성·예산=뉴시스】유효상 기자 = 충남도가 최저임금 인상에 따른 사업주의 경영부담을 덜어주고 고용안정을 위해 도내 전 시·군, 읍·면·동에 ‘일자리 안정자금 지원 사업’ 전담 창구를 마련해 운영한다.14일 도에 따르면 일자리 안정자금 지원 사업은 2018년 최저임금이 7530원으로 인상됨에 따라 도내 소상공인 및 영세중소기업을 지원하고 노동자의 고용안정을 유지하기 위해 올해 한시적으로 시행된다.도는 지난 2일부터 도내 전 시·군, 읍·면·동 주민센터에 전담인력으로 구성된 ‘일자리 안정자금 지원 사업’ 전담 창구를 마련, 사업 홍보와 신청 접수를 병행 실시하고 있다.지원대상은 상시 30인 미만을 고용하고 월보수 190만 원 미만 근로자를 1개월 이상 고용하는 사업주로, 최저임금을 준수하고 고용보험에 가입해 있어야 한다.이 같은 조건을 충족하는 사업주는 근로자 1인당 최대 월 13만 원을 현금으로 수령하거나 사업주가 납입하는 사회보험료를 차감 받을 수 있다.고용보험법상 고용보험 미적용 대상인 합법취업 외국인 및 5인 미만의 법인이 아닌 농가의 근로자도 지원을 받을 수 있으며, 공동주택 경비, 환경미화원의 경우 30인 이상 사업주도 신청 가능하며 정규직, 계약직, 일용직 등 누구나 신청이 가능하다신청은 읍·면·동 주민센터에 설치된 접수창구를 방문하거나 4대 사회보험공단 홈페이지 및 일자리 안정자금 홈페이지에서 온라인으로 하면 된다.또 근로복지공단지사, 건강보험공단지사, 국민연금공단지사, 고용노동부고용센터를 통해 우편·팩스로도 신청이 가능하며, 직접 신청이 어려운 소상공인의 부담을 덜기 위해 보험사무 대행기관에서 무료로 대행해 준다.김종성 도 일자리노동정책과장은 “일자리 안정자금 지원사업의 조기 정착과 원활한 추진을 위해 시군과 연계해 적극적인 홍보로 대상에서 누락되는 일이 없도록 만전을 기할 것”이라며 특히 음식점, 숙박업, 슈퍼마켓·편의점·주유소 등 소매업, 이·미용업, 경비·청소업, 농림어가 등 사업주는 빠짐없이 신청해 줄 것을 당부했다.yreporter@newsis.com▶ 뉴시스 SNS",,,"충남도 ""일자리 안정 자금 신청하세요"""
"청년실업률 9.9% 등 청년문제 해결을 위해 정부 내 '컨트롤타워' 또는 '총괄조정기구'가 시급하다는 지적이 제기됐다. 정부가 대규모 예산을 마련해야 한다는 주장도 제기됐다.국회 청년미래특별위원회는 16일 고용노동부와 교육부, 보건복지부, 여성가족부, 국토교통부, 금융위원회, 병무청으로부터 업무보고를 받았다.김병관 더불어민주당 의원은 지난달 1차 업무보고에 강조했던 컨트롤타워 문제를 되짚었다. 김 의원은 “청와대와 정부 내에서 컨트롤타워에 대한 존재 필요성을 공감하는 것 같아 다행”이라면서도 “청와대와 국무조정실이 협의 후 조속하게 정리를 했으면 한다”고 당부했다.교육이나 훈련을 받지 않고 일도 하지 않는 젊은이를 지칭하는 니트(NEET·Not in Education, Employment or Training) 관련 통계의 일원화가 필요하다고 했다. 고용부에서 말하는 숫자, 국회 입법조사처와 현대경제연구원의 발표 자료가 다르다는 설명이다.일자리 미스매치는 원인이 아닌 결과이기 때문에 미스매치를 가져오는 원인에 대해 분석이 필요하다고 제안했다. 교육기관인 대학발 창업활성화는 지양해야 한다고 했다.김종훈 민중당 의원은 정부가 청년을 지원하기 위한 대규모 예산을 편성해야 한다고 주장했다. 1998년 영국의 블레어 정부가 공기업 민영화 과정에서 이득을 얻은 기업이나 주주들에 대해 횡재세(Windfall tax)를 매겨 10조원 가량을 세금을 걷고 청년일자리 대책, 교육에 사용한 사례를 들었다. 김 의원은 “2018년 예산에 따르면 지난해 대비 12% 증액한 18조원을 일자리 예산으로 책정했다”면서 “정부가 더욱 특단의 대책을 마련하시라 요구하고 싶다”고 말했다. 정부가 실업문제 해결을 위해 대규모 예산을 마련해 투자해야 하며 증세 이외에 대규모 국채발행 등을 생각해 볼 수 있다고 부연했다.신보라 자유한국당 의원은 최근 논란이 불거진 가상화폐 관련 정부 규제에 대해 질의했다. 신 의원은 “20~30대 청년층이 디지털에 강점을 보이는데다 가상화폐가 기존 부동산이나 주식시장보다 진입여건 등이 쉬우면서 (가상화폐 시장에) 많은 투자를 하고 있다”며 “정부가 가상화폐를 거래하기 위해 소득과 직업 등을 보고하도록 한 것은 사실상 소득없는 학생, 취업준비생의 시장 진입 자체를 배제시킬 수 있다”고 지적했다.김용범 금융위원회 부위원장은 “기본방침은 실명 입출금 시스템을 정착하는 것”이라며 “자금세탁 방지 차원이지, 일률적으로 청년층의 시장진입을 가로막는 것은 아니다”라고 설명했다.안영국 정치 기자 ang@etnews.com",,,"국회 청년특위 ""청년문제 해결 정부 '컨트롤타워' 시급"""
